Symbol,Last,Volume,Time,%Chg,"Market Cap","P/E ttm","52W %Chg"
A,157.8,1411000,2021-12-23,+0.65%,47655760000,36.12,+34.53%
AAL,18.26,32321000,2021-12-23,0.00%,11823605000,0,+14.92%
AAP,232.13,492700,2021-12-23,-0.28%,14474464000,19.69,+45.73%
AAPL,176.28,68356492,2021-12-23,+0.36%,2892119680000,31.25,+34.61%
ABBV,133.09,5702200,2021-12-23,+0.79%,235193456000,10.73,+28.86%
ABC,129.53,717800,2021-12-23,+1.35%,26959468000,13.8,+33.21%
ABMD,352.21,215200,2021-12-23,+2.57%,16024499000,75.64,+15.84%
ABT,139.16,3492000,2021-12-23,+0.12%,246074816000,26.03,+29.51%
ACN,403.31,1374100,2021-12-23,-0.09%,254953632000,42.9,+56.66%
ADBE,569.62,2147700,2021-12-23,+1.00%,271366976000,53.11,+14.63%
ADI,172.66,2026100,2021-12-23,+0.21%,63575832000,26.79,+20.56%
ADM,65.44,2921000,2021-12-23,+1.27%,36609820000,13.19,+32.60%
ADP,242,1532500,2021-12-23,+1.84%,101974928000,37.96,+38.14%
ADSK,280.99,1079100,2021-12-23,-0.57%,61810216000,104.28,-6.39%
AEE,87.02,922100,2021-12-23,-0.05%,22376932000,22.79,+14.92%
AEP,86.52,1553000,2021-12-23,-0.12%,43575968000,18.71,+7.20%
AES,23.55,3790700,2021-12-23,-0.08%,15701114000,15.01,+0.26%
AFL,57.69,2326600,2021-12-23,+0.89%,38163552000,10,+32.53%
AIG,56.57,3980600,2021-12-23,+2.35%,46969956000,12.34,+51.10%
AIZ,152.28,187000,2021-12-23,+0.38%,8676458000,17.46,+14.98%
AJG,166.45,510900,2021-12-23,+0.74%,34501420000,30.6,+35.28%
AKAM,116.2,701300,2021-12-23,+0.12%,18880176000,25.56,+8.54%
ALB,227.9,810200,2021-12-23,+1.19%,26658828000,53.5,+52.02%
ALGN,653.98,387300,2021-12-23,+1.25%,51568276000,69.45,+24.57%
ALK,53.02,1996000,2021-12-23,+1.59%,6643989000,0,+2.28%
ALL,114.13,1063000,2021-12-23,+0.63%,32718330000,6.87,+7.68%
ALLE,127.28,364000,2021-12-23,+0.82%,11416506000,22.67,+12.88%
AMAT,155.49,4625500,2021-12-23,+2.08%,138154896000,22.2,+85.04%
AMCR,11.66,7257200,2021-12-23,+0.43%,17876750000,15.28,+0.87%
AMD,146.14,48653699,2021-12-23,+1.57%,176480128000,66.61,+59.63%
AME,142.57,584600,2021-12-23,+1.08%,32980008000,30.93,+20.19%
AMGN,223.79,1668800,2021-12-23,+1.02%,126053288000,13.38,+0.38%
AMP,302.28,345900,2021-12-23,+1.20%,33822108000,14.13,+60.33%
AMT,278.74,1016000,2021-12-23,-0.89%,126942088000,29.79,+28.22%
AMZN,3421.37,1839400,2021-12-23,+0.02%,1735141120000,66.92,+7.41%
ANET,141.85,2319700,2021-12-23,+1.66%,43588236000,60.93,+98.05%
ANSS,403.59,177900,2021-12-23,+0.74%,35214436000,68.37,+11.42%
ANTM,455.71,646600,2021-12-23,+0.40%,110607648000,19.42,+47.79%
AON,292.41,1377900,2021-12-23,-0.55%,64427280000,26.9,+40.65%
AOS,82.77,508200,2021-12-23,+1.43%,13173839000,28.24,+50.19%
APA,26.07,4694300,2021-12-23,+0.93%,9470552000,10.17,+76.39%
APD,299.48,344700,2021-12-23,+0.78%,66389928000,32.94,+12.48%
APH,85.06,1365300,2021-12-23,+1.27%,50868260000,35.82,+32.12%
APTV,162.4,698600,2021-12-23,+0.98%,43931476000,50.73,+26.53%
ARE,217.63,448800,2021-12-23,-0.70%,33724816000,28.72,+25.30%
ATO,102.73,1112800,2021-12-23,+0.60%,13632785000,19.79,+11.63%
ATVI,65.16,8721700,2021-12-23,+1.65%,50752408000,19.19,-27.77%
AVB,245.77,404400,2021-12-23,-0.57%,34344144000,30.86,+56.82%
AVGO,664.8,2359600,2021-12-23,+1.47%,274478624000,26.21,+56.25%
AVY,208.47,246300,2021-12-23,+0.64%,17260480000,22.86,+36.51%
AWK,182.08,322800,2021-12-23,-0.70%,33054438000,43.66,+23.52%
AXP,164.19,3140400,2021-12-23,+1.06%,127174360000,18.96,+40.39%
AZO,2014.5,103000,2021-12-23,-0.48%,41567196000,19.69,+68.86%
BA,204.22,7415100,2021-12-23,+1.25%,120019888000,0,-7.04%
BAC,44.42,34053400,2021-12-23,+0.32%,363536992000,13.3,+47.82%
BAX,85.55,2033600,2021-12-23,+0.27%,42834284000,25.24,+8.63%
BBWI,69.5,2888500,2021-12-23,+1.34%,17911748000,11.49,+119.46%
BBY,98.08,2488200,2021-12-23,+0.73%,23594224000,9.04,-4.16%
BDX,248.91,964800,2021-12-23,+0.43%,70950056000,18.96,+1.91%
BEN,33.42,942800,2021-12-23,+1.67%,16805380000,8.79,+35.08%
BF.B,71.72,525300,2021-12-23,-0.38%,34345276000,45.28,-7.55%
BIIB,235.41,1003200,2021-12-23,+0.40%,34580084000,11.51,-6.29%
BIO,746.26,79800,2021-12-23,+0.33%,22326600000,45.16,+29.92%
BK,58.11,1841900,2021-12-23,+0.35%,47988460000,14.12,+41.80%
BKNG,2402.25,186400,2021-12-23,+0.72%,98643560000,81.35,+14.35%
BKR,24.22,3146500,2021-12-23,+1.25%,25106790000,77.16,+14.62%
BLK,913.92,416300,2021-12-23,+0.26%,138839984000,23.41,+29.88%
BLL,90,1533800,2021-12-23,-0.03%,29150460000,27.04,-1.76%
BMY,62.05,8077300,2021-12-23,-0.08%,137728976000,8.71,+1.72%
BR,180.29,280500,2021-12-23,+0.57%,21017848000,31.18,+22.31%
BRK.B,294.49,2899900,2021-12-23,+0.03%,657709248000,26.74,+31.33%
BRO,68.03,661500,2021-12-23,+0.68%,19213508000,32.33,+48.89%
BSX,42.72,6414800,2021-12-23,+1.33%,60875704000,29.9,+24.29%
BWA,43.62,1178800,2021-12-23,+1.35%,10458811000,10.08,+10.10%
BXP,114.26,863900,2021-12-23,-0.36%,17848212000,17.97,+23.39%
C,60.21,15223200,2021-12-23,+1.02%,122032728000,5.41,-0.94%
CAG,33.33,1996000,2021-12-23,-0.39%,15988069000,13.71,-8.46%
CAH,50.75,2050900,2021-12-23,+1.14%,14300741000,9.41,-5.77%
CARR,52.82,1938200,2021-12-23,+0.57%,45773020000,24.54,+38.42%
CAT,206.2,2669600,2021-12-23,+2.00%,111542240000,19.72,+15.57%
CB,190.64,969300,2021-12-23,+1.20%,82116464000,15.75,+26.20%
CBOE,129,316100,2021-12-23,-0.15%,13756946000,23.19,+41.60%
CBRE,105.82,911600,2021-12-23,+0.32%,35414356000,20.85,+68.64%
CCI,199.39,1211000,2021-12-23,-0.10%,86176960000,26.54,+30.78%
CCL,21.2,39190900,2021-12-23,-0.24%,20645092000,0,+1.24%
CDAY,103.89,490500,2021-12-23,+1.38%,15721776000,0,-5.69%
CDNS,187.48,752800,2021-12-23,+0.49%,51958392000,70.4,+40.90%
CDW,202.76,637000,2021-12-23,+1.96%,27519196000,26.31,+56.15%
CE,161.32,307600,2021-12-23,+1.16%,17563072000,10.36,+24.68%
CERN,91.84,2816000,2021-12-23,+0.05%,27021438000,34.38,+18.21%
CF,72.3,2759900,2021-12-23,+0.79%,15506544000,22.42,+96.63%
CFG,46.63,3605200,2021-12-23,+1.06%,19873708000,8.99,+31.87%
CHD,99.53,709600,2021-12-23,+0.13%,24300050000,34.04,+14.48%
CHRW,102.45,513300,2021-12-23,+1.15%,13317166000,17.93,+9.23%
CHTR,648.3,559700,2021-12-23,+1.33%,116234352000,29.9,+0.13%
CI,225.89,1286100,2021-12-23,+1.60%,74866272000,11.57,+13.52%
CINF,112.34,400000,2021-12-23,-0.09%,18102580000,18.59,+31.07%
CL,82.79,3936400,2021-12-23,+0.40%,69779472000,25.93,-1.94%
CLX,169.83,616600,2021-12-23,-0.55%,20865822000,29.39,-16.06%
CMA,85.3,724700,2021-12-23,+0.42%,11187010000,10.43,+52.16%
CMCSA,50.03,18420000,2021-12-23,+2.04%,228583200000,16.18,-0.01%
CME,228.96,1031600,2021-12-23,+0.77%,82287992000,35.39,+26.96%
CMG,1748.67,149600,2021-12-23,+0.23%,49198832000,74.81,+23.93%
CMI,213.97,649000,2021-12-23,+1.45%,30604552000,13.91,-4.57%
CMS,63.52,876200,2021-12-23,-0.30%,18401552000,22.28,+10.26%
CNC,84.72,2254300,2021-12-23,+0.41%,49434376000,18.34,+44.38%
CNP,27.52,3353400,2021-12-23,+0.15%,17306394000,17.5,+28.00%
COF,145.1,1720200,2021-12-23,+0.95%,61757756000,5.35,+49.87%
COO,411.21,211400,2021-12-23,+1.63%,20317064000,30.56,+15.51%
COP,71.19,3902700,2021-12-23,+0.15%,93895840000,20.08,+77.62%
COST,550.37,1758100,2021-12-23,+0.13%,244052768000,46.74,+52.08%
CPB,41.96,1890500,2021-12-23,-0.02%,12660926000,14.73,-12.78%
CPRT,146.18,450800,2021-12-23,+0.54%,34672140000,36.44,+18.51%
CRL,369.2,227600,2021-12-23,-0.10%,18631310000,36.13,+46.62%
CRM,253.14,3769400,2021-12-23,+0.13%,249342896000,86.28,+11.30%
CSCO,62.28,17771301,2021-12-23,+1.22%,262672496000,20.86,+40.35%
CSX,36.79,11146101,2021-12-23,+1.97%,81599592000,24.27,+23.08%
CTAS,435,621800,2021-12-23,+1.42%,44982476000,40.05,+28.16%
CTLT,124.96,554100,2021-12-23,+0.31%,21391652000,40.58,+19.17%
CTRA,19.39,5811400,2021-12-23,-1.82%,15775278000,14.52,+12.93%
CTSH,86.29,1647200,2021-12-23,+0.45%,45323996000,23.28,+6.54%
CTVA,46.44,1923800,2021-12-23,+1.11%,33850532000,21.98,+18.53%
CTXS,97.88,1621000,2021-12-23,+3.77%,12207886000,28.93,-25.72%
CVS,101.31,3111200,2021-12-23,+0.41%,133735168000,13.05,+48.96%
CVX,116.41,7416600,2021-12-23,+0.24%,224401936000,20.89,+35.85%
CZR,94.76,1464500,2021-12-23,+1.43%,20257224000,0,+23.58%
D,77.34,1851100,2021-12-23,+0.25%,62528380000,20.46,+4.46%
DAL,39.3,8478100,2021-12-23,+0.43%,25152550000,0,-2.34%
DD,78.54,2456500,2021-12-23,+2.00%,41080896000,18.92,+13.53%
DE,349.22,997800,2021-12-23,+0.64%,107352680000,18.27,+30.34%
DFS,115.34,1355900,2021-12-23,+0.42%,33803384000,6.87,+30.52%
DG,221.33,2241600,2021-12-23,+0.50%,51283712000,21.57,+4.81%
DGX,167.05,758400,2021-12-23,-0.43%,20492860000,10.91,+38.25%
DHI,104.92,2660800,2021-12-23,-0.63%,37407128000,9.24,+48.30%
DHR,320.79,1209700,2021-12-23,+0.35%,229229184000,33.83,+45.44%
DIS,153.63,6572300,2021-12-23,+1.15%,279246496000,66.61,-11.48%
DISCA,24.42,4741900,2021-12-23,+3.34%,12353248000,10.64,-13.59%
DISCK,23.57,2394900,2021-12-23,+3.29%,11923261000,10.28,-5.15%
DISH,32.87,1592900,2021-12-23,+1.86%,17381392000,7.74,+6.13%
DLR,169.81,943400,2021-12-23,-0.93%,48189872000,26.49,+24.14%
DLTR,137,1162400,2021-12-23,+0.35%,30818970000,23.06,+27.30%
DOV,173.74,470900,2021-12-23,+0.72%,25015956000,23.31,+40.52%
DOW,55.14,6240400,2021-12-23,+1.68%,40782316000,7.1,+0.71%
DPZ,545.84,337500,2021-12-23,+2.06%,19861482000,41.72,+35.19%
DRE,62.59,1381500,2021-12-23,-0.29%,23837402000,36.92,+61.56%
DRI,148.84,1015500,2021-12-23,+2.56%,19317200000,23.22,+24.47%
DTE,116.82,643700,2021-12-23,+0.10%,22631188000,16.1,+18.22%
DUK,102.97,1435200,2021-12-23,-0.18%,79218736000,19.39,+15.64%
DVA,111.42,681900,2021-12-23,+1.59%,11353698000,12.52,-3.11%
DVN,42.05,5399800,2021-12-23,-0.57%,28467850000,19.85,+168.52%
DXC,32.57,1072700,2021-12-23,+1.91%,8215424000,9.63,+42.29%
DXCM,572.01,391400,2021-12-23,-0.14%,55440352000,198.2,+60.68%
EA,132.54,1594100,2021-12-23,+0.81%,37483372000,26.19,-6.34%
EBAY,64.89,6045300,2021-12-23,+1.49%,42182136000,19.86,+26.91%
ECL,228.24,489400,2021-12-23,+0.62%,65406048000,48.89,+6.99%
ED,83.77,1313500,2021-12-23,-0.10%,29602808000,20.35,+19.55%
EFX,287.03,478600,2021-12-23,+1.28%,35018232000,36.33,+48.82%
EIX,67.67,879400,2021-12-23,+0.07%,25694636000,14.67,+10.39%
EL,365.99,898100,2021-12-23,+1.19%,131737000000,52.42,+40.97%
EMN,117.39,708000,2021-12-23,+1.06%,15781911000,13.29,+16.32%
EMR,91.28,2367700,2021-12-23,+1.57%,54302476000,21.92,+14.07%
ENPH,188.17,1250500,2021-12-23,-0.61%,25386392000,116.15,+4.35%
EOG,87.18,2458300,2021-12-23,-0.05%,51008152000,14.02,+74.08%
EPAM,663.08,271300,2021-12-23,+0.39%,37609900000,91.48,+87.92%
EQIX,818.76,433100,2021-12-23,0.00%,73721968000,30.68,+16.45%
EQR,88.18,1275900,2021-12-23,-0.31%,33068910000,29.58,+54.51%
ES,89.44,779700,2021-12-23,+0.10%,30750010000,23.45,+7.86%
ESS,342.67,296600,2021-12-23,-0.27%,22303702000,28.05,+48.19%
ETN,168.04,861800,2021-12-23,+0.78%,66980740000,26.94,+43.60%
ETR,110.09,459800,2021-12-23,+0.10%,22125998000,18.42,+15.31%
ETSY,228.09,1225900,2021-12-23,+1.33%,28917476000,66.6,+19.94%
EVRG,66.75,526600,2021-12-23,+0.18%,15305975000,18.2,+26.47%
EW,128.57,1732100,2021-12-23,+0.58%,80270760000,57.58,+45.64%
EXC,54.49,3558300,2021-12-23,+0.22%,53282120000,20.29,+30.64%
EXPD,130.76,470900,2021-12-23,+1.30%,22151268000,19.09,+38.36%
EXPE,183.78,1489300,2021-12-23,+0.75%,27847812000,0,+45.29%
EXR,218,378300,2021-12-23,-0.48%,29188452000,33.86,+93.21%
F,20.25,50610400,2021-12-23,+0.55%,80923880000,10.77,+125.25%
FANG,105.94,1640000,2021-12-23,+0.24%,19193680000,12.49,+121.63%
FAST,62.59,1845500,2021-12-23,+0.89%,35999456000,40.03,+27.50%
FB,335.24,13987600,2021-12-23,+1.45%,932557184000,23.59,+25.04%
FBHS,102.75,792200,2021-12-23,+2.27%,13946668000,17.75,+17.07%
FCX,41.13,17727500,2021-12-23,+2.47%,60398336000,15.74,+65.45%
FDS,479.51,215600,2021-12-23,+0.44%,18049712000,41.26,+47.51%
FDX,253.82,2099300,2021-12-23,+1.54%,67254432000,14.14,-6.24%
FE,40.53,1861100,2021-12-23,+0.02%,22065340000,16.74,+38.37%
FFIV,234.84,369900,2021-12-23,+1.70%,14379019000,30.5,+33.54%
FIS,109.05,2598500,2021-12-23,-0.86%,66404584000,17.57,-19.05%
FISV,105.54,2127400,2021-12-23,-0.61%,69680888000,20,-4.61%
FITB,43.07,2605600,2021-12-23,+0.87%,29449416000,11.57,+55.32%
FLT,223.69,269400,2021-12-23,+0.40%,18163402000,18.69,-17.04%
FMC,109.12,730300,2021-12-23,+1.51%,13831069000,17.37,-4.15%
FOX,34.51,784700,2021-12-23,+1.11%,19656412000,12.19,+24.36%
FOXA,37.28,1805100,2021-12-23,+1.25%,21234164000,13.15,+32.62%
FRC,203.91,356300,2021-12-23,+0.99%,35950764000,27.85,+45.17%
FRT,132.38,338600,2021-12-23,-0.14%,10297708000,25.35,+53.73%
FTNT,349.02,707300,2021-12-23,+0.25%,57064768000,122.16,+132.31%
FTV,74.5,1579700,2021-12-23,+2.55%,26714060000,27.42,+7.43%
GD,204.69,665800,2021-12-23,+0.46%,57154156000,17.49,+38.16%
GE,94,3885400,2021-12-23,+1.00%,103224872000,50.31,+8.20%
GILD,72.48,5096600,2021-12-23,+0.07%,90917760000,8.24,+26.32%
GIS,65.99,2332100,2021-12-23,+0.44%,39969680000,17.71,+11.87%
GL,92.7,286100,2021-12-23,+1.02%,9360752000,13.3,-0.22%
GLW,36.75,2888300,2021-12-23,+1.02%,31362744000,17.66,+1.10%
GM,56.91,13722300,2021-12-23,+1.48%,82625352000,7.31,+34.06%
GNRC,351.29,391400,2021-12-23,-0.15%,22162888000,38.07,+54.75%
GOOG,2942.85,690900,2021-12-23,+0.13%,1953357920000,28.3,+69.87%
GOOGL,2938.33,1319100,2021-12-23,+0.34%,1950357600000,28.2,+70.02%
GPC,135.37,307400,2021-12-23,+0.09%,19279664000,20.37,+36.19%
GPN,135.37,2064600,2021-12-23,+0.39%,39277740000,18.4,-32.40%
GPS,17.28,4655200,2021-12-23,+0.52%,6452405000,9.94,-16.52%
GRMN,134.48,389900,2021-12-23,+0.28%,25863462000,22.35,+11.84%
GS,385.04,1624100,2021-12-23,+0.71%,128908704000,6.31,+50.14%
GWW,503.01,223800,2021-12-23,+0.77%,25915076000,27.64,+22.49%
HAL,22.71,3455500,2021-12-23,-0.09%,20328084000,24.98,+16.58%
HAS,97.92,552300,2021-12-23,+1.35%,13507770000,18.3,+5.57%
HBAN,15.26,6460000,2021-12-23,+0.93%,22072996000,10.43,+22.57%
HCA,252.05,822200,2021-12-23,-0.01%,78393352000,14.65,+51.97%
HD,397.07,2743800,2021-12-23,+0.36%,414636000000,26.29,+47.17%
HES,73.49,1216400,2021-12-23,-0.84%,22761836000,97.51,+35.59%
HIG,68.27,742300,2021-12-23,+0.95%,23235898000,11.44,+41.43%
HII,182.21,205100,2021-12-23,+1.04%,7299515000,12.12,+9.40%
HLT,154.71,1384800,2021-12-23,+1.29%,43121080000,121.22,+45.25%
HOLX,76.12,1883200,2021-12-23,-1.42%,19138168000,9.2,+1.41%
HON,205.22,2376100,2021-12-23,+1.67%,141278160000,25.14,-2.27%
HPE,15.76,6735600,2021-12-23,+1.35%,20384614000,6.07,+34.13%
HPQ,37.65,6620800,2021-12-23,+0.99%,40764524000,9.84,+55.51%
HRL,47.77,1327600,2021-12-23,+0.15%,25918570000,27.57,+0.91%
HSIC,74.93,380100,2021-12-23,+0.81%,10390842000,16.7,+12.78%
HST,17.35,5459900,2021-12-23,+0.81%,12388508000,55.52,+23.58%
HSY,188.46,292100,2021-12-23,-0.22%,38823512000,27.06,+26.10%
HUM,460.54,352500,2021-12-23,+0.99%,59195048000,26.68,+13.69%
HWM,31.13,2557600,2021-12-23,+2.74%,13299295000,32.93,+12.10%
IBM,130.63,3649000,2021-12-23,+0.68%,117086288000,14.93,+5.43%
ICE,135.84,1212200,2021-12-23,+0.44%,76532792000,27.43,+21.09%
IDXX,645.02,266100,2021-12-23,+0.78%,54693820000,73.31,+30.66%
IEX,230.64,355900,2021-12-23,+0.69%,17535788000,37.43,+18.39%
IFF,143.09,627000,2021-12-23,+0.61%,36423128000,24.15,+29.46%
ILMN,382.29,370100,2021-12-23,+0.92%,59751928000,58.91,+4.30%
INCY,73.47,1082100,2021-12-23,+0.14%,16228862000,25.48,-16.44%
INFO,132.9,1449100,2021-12-23,+0.11%,53005964000,50.86,+55.26%
INTC,51.31,25198201,2021-12-23,+0.67%,208677776000,8.64,+10.18%
INTU,635.71,759800,2021-12-23,+0.64%,180012096000,80.98,+68.66%
IP,45.84,2403500,2021-12-23,+1.26%,17752136000,11.55,-7.49%
IPG,36.85,1893900,2021-12-23,+0.44%,14509871000,13.9,+56.68%
IPGP,168.9,111100,2021-12-23,+0.89%,9003888000,33.15,-23.28%
IQV,278.01,500400,2021-12-23,+0.45%,53111032000,34.55,+58.37%
IR,59.74,1140100,2021-12-23,+1.70%,24349128000,38.64,+30.55%
IRM,51.3,1200500,2021-12-23,-0.64%,14853864000,16.98,+74.08%
ISRG,363.94,1022600,2021-12-23,+0.48%,130012832000,78.17,+34.85%
IT,325.53,232000,2021-12-23,+0.27%,26771258000,41.31,+107.29%
ITW,240.5,614800,2021-12-23,+1.16%,75488384000,28.51,+19.07%
